A股	A<s>gu2
背井離鄉	bui3<s>zing2<s>li4<s>hiang1
背街小巷	bui6<s>gaai1<s>sliu2<s>haang6
背古詩	bui6<s>gu2<s>si1
背書	bui6<s>syu1
背運	bui6<s>wan6
背靜	bui6<s>zing6
背誦	bui6<s>zoeng6
駁難	buk2<s>naan6
欂子	buk2<s>zi2
薄膜	buk6<s>moek5
本分	bun2<s>fan6
本埠	bun2<s>fau6
本性難移	bun2<s>sling3<s>naan4<s>ji4
盤詰	bun4<s>kit2
胖襖	bun5<s>aau3
胖大海	bun5<s>daai6<s>haai2
胖墩墩	bun5<s>dan1<s>dan1
胖頭魚	bun5<s>dau4<s>njyu4
胖嘟嘟	bun5<s>du1<s>du1
胖乎乎	bun5<s>hu4<s>hu4
胖子	bun5<s>zi2
差不多	caa1<s>bat2<s>do1
差別	caa1<s>bit6
差錯	caa1<s>co3
差舛	caa1<s>cyun2
差得多	caa1<s>dak2<s>do1
差得遠	caa1<s>dak2<s>jyun5
差點	caa1<s>dem2
差點兒	caa1<s>dem2<s>nji4
差價	caa1<s>gaa3
差強人意	caa1<s>giang4<s>njan4<s>ji3
差勁	caa1<s>ging3
差距	caa1<s>gyu5
差伙	caa1<s>hu2
差互	caa1<s>hu6
差異	caa1<s>ji6
差可	caa1<s>ko2
差額	caa1<s>ngiak5
差失	caa1<s>sat2
差三錯四	caa1<s>slaam1<s>co3<s>sli3
差數	caa1<s>su3
差忒	caa1<s>tak2
差之毫釐	caa1<s>zi1<s>haau4<s>li4
差池	caa1<s>zi4
差撥	caai1<s>but6
猜度	caai1<s>daak6
差夫	caai1<s>fu1
差遣	caai1<s>hyun2
差使	caai1<s>sai2
差事	caai1<s>sai6
差役	caai1<s>wik5
猜着	caai1<s>ziak6
猜著	caai1<s>ziak6
參校	caam1<s>gaau3
參觀	caam1<s>gun1
參禪	caam1<s>sim4
產量	caan2<s>liang6
孱頭	caan3<s>dau4
窗柵	caang1<s>ciak2
蒼苔	caang1<s>daai4
窗檔	caang1<s>daang3
倉稟	caang1<s>lam5
闖將	caang2<s>ziang3
創傷	caang3<s>siang1
創痛	caang3<s>toeng3
創造	caang3<s>zaau6
察覺	caat2<s>kiak2
操行	caau1<s>hiang4
炒更	caau2<s>giang1
草率	caau2<s>slat2
草藉	caau2<s>ze3
測度	cak2<s>daak6
測量	cak2<s>liang4
廁足	cak2<s>zoek2
賊竇	cak6<s>dau3
參錯	cam1<s>co3
侵蝕	cam1<s>sik6
春草芳菲	can1<s>caau2<s>fung1<s>fi1
親切	can1<s>cit2
親貴	can1<s>gwai3
親友	can1<s>jau5
親暱	can1<s>nik5
親生	can1<s>siang1
親信	can1<s>slan3
親善	can1<s>syun6
親痛仇快	can1<s>toeng3<s>sau4<s>waai3
親族	can1<s>zoek6
親家	can3<s>gaa1
親家郎	can3<s>gaa1<s>laang4
親家老爺	can3<s>gaa1<s>laau5<s>je4
親家母	can3<s>gaa1<s>mu5
親家奶奶	can3<s>gaa1<s>naai4<s>naai5
蹭蹬	cang3<s>dang6
七八月間	cat2<s>baat2<s>njyut5<s>gaan1
出差	cat2<s>caai1
七馱	cat2<s>do6
七分之	cat2<s>fan6<s>zi1
七擒七縱	cat2<s>gam4<s>cat2<s>zoeng3
出計	cat2<s>gi3
出口量	cat2<s>hau2<s>liang6
出行	cat2<s>hiang4
七下	cat2<s>jaa5
七米	cat2<s>mai5
出塞	cat2<s>saai3
出使	cat2<s>sai2
抽調	cau1<s>diu6
秋潦	cau1<s>laau5
秋收冬藏	cau1<s>sau1<s>doeng1<s>zaang4
醜惡	cau2<s>aak2
醜相	cau2<s>sliang3
嗅覺	cau3<s>kiak2
車騎	ce1<s>gi6
車行	ce1<s>haang4
車匙	ce1<s>si4
車載斗量	ce1<s>zaai3<s>dau2<s>liang4
差等	ci1<s>dang2
差肩	ci1<s>gyun1
侈靡	ci2<s>mi4
柵欄	ciak2<s>laan4
柵門	ciak2<s>mun4
倀倀	ciang1<s>ciang1
槍彈	ciang1<s>daan6
倀鬼	ciang1<s>gwai2
倡優	ciang1<s>jau1
嗆咳	ciang1<s>kat2
將進酒	ciang1<s>zan3<s>zau2
嗆着	ciang1<s>ziak6
倡導	ciang3<s>daau6
唱歌堂	ciang3<s>gaa1<s>daang4
嗆人	ciang3<s>njan4
倡議	ciang3<s>nji6
叱吒	cik2<s>ciak2
千差萬別	cin1<s>caa1<s>maan6<s>bit6
千馱	cin1<s>do6
千分之	cin1<s>fan6<s>zi1
千下	cin1<s>jaa5
千里之行	cin1<s>li5<s>zi1<s>hiang4
千米	cin1<s>mai5
千乘	cin1<s>sing6
千乘之國	cin1<s>sing6<s>zi1<s>guk2
千載難逢	cin1<s>zaai2<s>naan4<s>foeng4
千重浪	cin1<s>zoeng4<s>laang6
稱一稱	cing1<s>at2<s>cing1
清吧	cing1<s>baa1
稱霸	cing1<s>baa3
稱兵	cing1<s>bing1
稱病	cing1<s>bing6
青苔	cing1<s>daai4
稱道	cing1<s>daau6
稱分量	cing1<s>fan6<s>liang6
稱奇	cing1<s>gi4
稱孤道寡	cing1<s>gu1<s>daau6<s>gwaa2
稱號	cing1<s>haau6
稱雄	cing1<s>hoeng4
稱呼	cing1<s>hu1
稱許	cing1<s>hyu2
稱揚	cing1<s>jiang4
稱譽	cing1<s>jyu6
稱觴	cing1<s>siang1
稱觴祝壽	cing1<s>siang1<s>zoek2<s>sau6
稱賞	cing1<s>siang2
稱述	cing1<s>slat6
稱羨	cing1<s>slin3
稱說	cing1<s>syut2
稱歎	cing1<s>taan3
稱快	cing1<s>waai3
稱謂	cing1<s>wai6
稱兄道弟	cing1<s>wing1<s>daau6<s>dai6
稱讚	cing1<s>zaan3
清朝	cing1<s>ziu4
稱誦	cing1<s>zoeng6
稱頌	cing1<s>zoeng6
請假	cing2<s>kaa3
秤砣	cing3<s>do4
稱砣	cing3<s>do4
稱意	cing3<s>ji3
秤鈎	cing3<s>ngau1
秤鉤	cing3<s>ngau1
稱鈎	cing3<s>ngau1
稱鉤	cing3<s>ngau1
稱身	cing3<s>san1
稱心	cing3<s>slam1
稱心如意	cing3<s>slam1<s>jyu4<s>ji3
稱體裁衣	cing3<s>tai2<s>zaai4<s>ji1
稱職	cing3<s>zik2
錯彩鏤金	co3<s>caai2<s>lau6<s>gam1
錯刀	co3<s>daau1
錯覺	co3<s>kiak2
錯落	co3<s>laak5
錯落有致	co3<s>laak5<s>jau5<s>zi3
錯亂	co3<s>lun6
錯謬	co3<s>mau6
錯雜	co3<s>zaap6
錯綜	co3<s>zoeng1
錯綜複雜	co3<s>zoeng1<s>foek2<s>zaap6
觸覺	coek2<s>kiak2
促數	coek2<s>suk2
衝鋒號	coeng1<s>foeng1<s>haau6
𥅻盹兒	coeng3<s>dan6<s>nji4
吹號	cui1<s>haau6
吹散	cui1<s>slaan3
揣度	cui2<s>daak6
忖度	cun2<s>daak6
處罰	cyu2<s>faat6
處分	cyu2<s>fan6
處方	cyu2<s>fung1
處境	cyu2<s>ging2
處決	cyu2<s>kyut2
取樂	cyu2<s>laak5
處理	cyu2<s>li5
處女	cyu2<s>nyu5
處士	cyu2<s>sai6
處世	cyu2<s>si3
取勝	cyu2<s>sing3
處心積慮	cyu2<s>slam1<s>zik2<s>lyu6
處死	cyu2<s>sli2
處在	cyu2<s>zaai6
處之泰然	cyu2<s>zi1<s>taai3<s>jyun4
處置	cyu2<s>zi3
取長補短	cyu2<s>ziang4<s>bu2<s>dun2
處所	cyu3<s>slo2
處暑	cyu3<s>syu2
處長	cyu3<s>ziang2
穿着	cyun1<s>ziak2
穿著	cyun1<s>ziak2
打倒	daa2<s>daau2
打倒褪	daa2<s>daau3<s>tan3
打更	daa2<s>giang1
打工仔	daa2<s>goeng1<s>zaai2
打撈	daa2<s>laau4
打着	daa2<s>ziak6
打著	daa2<s>ziak6
打仗	daa2<s>ziang3
呆子	daai1<s>zi2
獃子	daai1<s>zi2
苔箋	daai4<s>cim1
台觀	daai4<s>gun3
臺觀	daai4<s>gun3
苔衣	daai4<s>ji1
苔蘚	daai4<s>slyun2
苔岑	daai4<s>zam4
苔錢	daai4<s>zin4
大排檔	daai6<s>baai4<s>daang3
大處	daai6<s>cyu3
大大咧咧	daai6<s>daai6<s>le3<s>le3
大調	daai6<s>diu6
大埠	daai6<s>fau6
大腹便便	daai6<s>foek2<s>bin4<s>bin4
大楷	daai6<s>gaai1
大覺	daai6<s>gaau3
大覺瞓	daai6<s>gaau3<s>wan3
大海撈針	daai6<s>haai2<s>laau4<s>zam1
大興	daai6<s>hing1
大有裨益	daai6<s>jau5<s>bai1<s>ik2
大溜	daai6<s>lau6
大夢初覺	daai6<s>moeng6<s>cu1<s>kiak2
玳瑁	daai6<s>mui6
大難	daai6<s>naan6
大難不死	daai6<s>naan6<s>bat2<s>sli2
大使	daai6<s>sai2
大使館	daai6<s>sai2<s>gun2
大乘	daai6<s>sing6
大爲高興	daai6<s>wai4<s>gaau1<s>hing3
大藏經	daai6<s>zaang6<s>ging1
大將	daai6<s>ziang3
度德量力	daak6<s>dak2<s>liang6<s>lik5
度長絜大	daak6<s>ziang4<s>kyut2<s>daai6
擔保	daam1<s>baau2
擔待	daam1<s>daai6
擔當	daam1<s>daang1
擔負	daam1<s>fu6
擔綱	daam1<s>gaang1
擔憂	daam1<s>jau1
擔任	daam1<s>njam6
擔心	daam1<s>slam1
擔水	daam1<s>sui2
膽量	daam2<s>liang6
擔子	daam3<s>zi2
覃恩	daam4<s>an1
覃第	daam4<s>dai6
覃深	daam4<s>sam1
覃思	daam4<s>sli1
彈壓	daan4<s>aat2
彈琵琶	daan4<s>bi4<s>baa4
彈鋼琴	daan4<s>gaang1<s>gam4
彈琴	daan4<s>gam4
彈冠相慶	daan4<s>gun1<s>sliang1<s>hing3
彈劾	daan4<s>hat6
彈灰塵	daan4<s>hui1<s>zan4
彈簧	daan4<s>hung4
彈羊毛	daan4<s>jiang4<s>maau4
彈棉機	daan4<s>min4<s>gi1
彈射	daan4<s>se6
彈性	daan4<s>sling3
彈跳	daan4<s>tiu3
彈奏	daan4<s>zau3
彈指	daan4<s>zi2
彈詞	daan4<s>zi4
彈弓	daan6<s>goeng1
彈丸	daan6<s>jyun4
當差	daang1<s>caai1
當初	daang1<s>cu1
當代	daang1<s>daai6
鐺鐺	daang1<s>daang1
鐺鐺車	daang1<s>daang1<s>ce1
當道	daang1<s>daau6
當頭	daang1<s>dau4
當頭棒喝	daang1<s>dau4<s>baang6<s>haat2
當地	daang1<s>di6
當家	daang1<s>gaa1
當街	daang1<s>gaai1
當今	daang1<s>gam1
當機立斷	daang1<s>gi1<s>lap5<s>dun5
當局	daang1<s>goek6
當局者迷	daang1<s>goek6<s>ze2<s>mai4
當官	daang1<s>gun1
當權	daang1<s>gyun4
當口	daang1<s>hau2
當然	daang1<s>jyun4
當晚	daang1<s>maan5
當務之急	daang1<s>mu6<s>zi1<s>gap2
當年	daang1<s>nin4
當仁不讓	daang1<s>njan4<s>bat2<s>ngiang6
當日	daang1<s>njat5
當世	daang1<s>si3
當時	daang1<s>si4
當時得令	daang1<s>si4<s>dak2<s>ling6
當先	daang1<s>slin1
當天	daang1<s>tin1
當場	daang1<s>ziang4
當即	daang1<s>zik2
當值	daang1<s>zik6
當前	daang1<s>zin4
當政	daang1<s>zing3
當中	daang1<s>zoeng1
當中介人	daang1<s>zoeng1<s>gaai3<s>njan4
當眾	daang1<s>zoeng3
當衆	daang1<s>zoeng3
檔案	daang2<s>aan3
檔冊	daang2<s>ciak2
黨參	daang2<s>sam1
檔次	daang3<s>ci3
當票	daang3<s>piu3
當鋪	daang3<s>pu3
當作	daang3<s>zaak2
當真	daang3<s>zan1
檔子	daang3<s>zi2
螳臂當車	daang4<s>bi3<s>daang1<s>ce1
糖分	daang4<s>fan6
鏜孔	daang4<s>koeng2
鏜床	daang4<s>saang4
鏜牀	daang4<s>saang4
搪塞	daang4<s>slak2
唐朝	daang4<s>ziu4
搭檔	daap2<s>daang3
答應	daap2<s>ing3
刀背	daau1<s>bui3
叨叨	daau1<s>daau1
叨叨絮絮	daau1<s>daau1<s>slyu3<s>slyu3
叨登	daau1<s>dang1
叨蹬	daau1<s>dang1
叨咕	daau1<s>gu1
叨嘮	daau1<s>laau4
叨念	daau1<s>nim6
倒班	daau2<s>baan1
倒閉	daau2<s>bai3
倒出	daau2<s>cat2
倒臺	daau2<s>daai4
倒戈	daau2<s>gu1
倒楣	daau2<s>mi4
倒霉	daau2<s>mui4
倒手	daau2<s>sau2
倒嗓子	daau2<s>slaang1<s>zi2
倒坍	daau2<s>taan1
倒塌	daau2<s>taap2
倒替	daau2<s>tai3
倒胃口	daau2<s>wai6<s>hau2
倒車	daau3<s>ce1
到處	daau3<s>cyu3
倒打一耙	daau3<s>daa2<s>at2<s>baa4
倒掟	daau3<s>ding6
倒吊	daau3<s>diu3
倒果爲因	daau3<s>go2<s>wai4<s>an1
倒掛	daau3<s>gwaa3
倒行逆施	daau3<s>hiang4<s>nik5<s>si1
倒影	daau3<s>ing2
倒映	daau3<s>ing2
倒懸	daau3<s>jyun4
倒垃圾	daau3<s>laap5<s>slaap2
倒數	daau3<s>su2
倒水	daau3<s>sui2
倒褪	daau3<s>tan3
倒貼	daau3<s>tip2
倒退	daau3<s>tui3
倒茶	daau3<s>zaa4
倒置	daau3<s>zi3
倒持泰阿	daau3<s>zi4<s>taai3<s>o1
倒敍	daau3<s>zyu6
倒敘	daau3<s>zyu6
逃難	daau4<s>naan6
桃核	daau4<s>wat6
導彈	daau6<s>daan6
道觀	daau6<s>gun3
道行	daau6<s>hiang4
道藏	daau6<s>zaang6
稻種	daau6<s>zoeng2
低檔	dai1<s>daang3
氐羌	dai1<s>kiang1
氐宿	dai1<s>slau3
氐族	dai1<s>zoek6
提倡	dai4<s>ciang3
得當	dak2<s>daang3
德行	dak2<s>hiang4
特長	dak6<s>ziang4
特徵	dak6<s>zing1
𣎴子	dan2<s>zi2
屯里	dan6<s>li5
登峰造極	dang1<s>foeng1<s>zaau6<s>gik6
蹬腳	dang1<s>giak2
燈泡	dang1<s>paau1
燈着	dang1<s>ziak6
燈著	dang1<s>ziak6
燈着了	dang1<s>ziak6<s>liu5
燈著了	dang1<s>ziak6<s>liu5
等下	dang2<s>jaa5
投閑置散	dau4<s>haan4<s>zi3<s>slaan2
投閒置散	dau4<s>haan4<s>zi3<s>slaan2
投降	dau4<s>haang4
頭號	dau4<s>haau6
點鹽	dem2<s>jim4
點心	dem2<s>slam1
點將	dem2<s>ziang3
地處	di6<s>cyu2
地祇	di6<s>gi4
地上	di6<s>sang6
地藏菩薩	di6<s>zaang6<s>bu4<s>slaat2
嘀嗒	dik3<s>daap3
迪吧	dik6<s>baa1
翟車	dik6<s>ce1
嘀嘀咕咕	dik6<s>dik6<s>gu1<s>gu1
翟茀	dik6<s>fat2
嘀咕	dik6<s>gu1
