A股	A<s>gu2
一半	aa1<s>bun3
一唪	aa1<s>bung6
一餐	aa1<s>caan1
一浸	aa1<s>cam3
一層	aa1<s>cang4
一池	aa1<s>ci4
一千一百個	aa1<s>cin1<s>aa1<s>baak3<s>go3
一千九百個	aa1<s>cin1<s>gau2<s>baak3<s>go3
一千文	aa1<s>cin1<s>man1
一成	aa1<s>cing4
一場	aa1<s>coeng4
一牀	aa1<s>cong4
一槽	aa1<s>cu4
一槌	aa1<s>cui4
一串	aa1<s>cyun3
一齣	aa1<s>cyut1
一擔	aa1<s>daam3
一啖	aa1<s>daam6
一單	aa1<s>daan1
一沓	aa1<s>daap6
一笪定	aa1<s>daat3<s>deng6
一笪定方	aa1<s>daat3<s>deng6<s>fong1
一底發糕	aa1<s>dai2<s>faat3<s>gu1
一底年糕	aa1<s>dai2<s>nin4<s>gu1
一蔸氣	aa1<s>dau1<s>hi3
一蔸水	aa1<s>dau1<s>sui2
一竇	aa1<s>dau3
一丁	aa1<s>ding1
一定中	aa1<s>ding6<s>zung3
一碟	aa1<s>dip6
一袋	aa1<s>doi6
一刀	aa1<s>du1
一堆	aa1<s>dui1
一堆壘	aa1<s>dui1<s>lui1
一對	aa1<s>dui3
一對八	aa1<s>dui3<s>bet3
一䐁	aa1<s>duk1
一棟	aa1<s>dung6
一垌田	aa1<s>dung6<s>tin4
一段	aa1<s>dyun6
一塊	aa1<s>faai3
一番	aa1<s>faan1
一分錢	aa1<s>fan1<s>cin4
一分紙	aa1<s>fan1<s>zi2
一副	aa1<s>fu3
一幅	aa1<s>fuk1
一服	aa1<s>fuk6
一服藥	aa1<s>fuk6<s>joek6
一封	aa1<s>fung1
一逢𡃴	aa1<s>fung4<s>cui4
一屆	aa1<s>gaai3
一䊆	aa1<s>gau6
一䊆水	aa1<s>gau6<s>sui2
一間	aa1<s>gen1
一間屋	aa1<s>gen1<s>uk1
一件	aa1<s>gin6
一個對	aa1<s>go3<s>dui3
一個禮拜	aa1<s>go3<s>lai5<s>baai3
一個星期	aa1<s>go3<s>sling1<s>ki4
一個字	aa1<s>go3<s>zi6
一個鐘	aa1<s>go3<s>zung1
一缸	aa1<s>gong1
一股臭氣	aa1<s>gu2<s>cau3<s>hi3
一股怪味	aa1<s>gu2<s>gwaai3<s>mi6
一櫃	aa1<s>gwai6
一櫃桶	aa1<s>gwai6<s>tung2
一棍	aa1<s>gwan3
一句	aa1<s>gyu3
一掐	aa1<s>haap3
一係	aa1<s>hai6
一係就	aa1<s>hai6<s>zau6
一盒	aa1<s>hap6
一口	aa1<s>hau2
一口墳山	aa1<s>hau2<s>fan4<s>saan1
一口風	aa1<s>hau2<s>fung1
一口雷	aa1<s>hau2<s>lui4
一起	aa1<s>hi2
一荷包	aa1<s>ho4<s>beu1
一殼	aa1<s>hok3
一抸	aa1<s>jaap3
一任	aa1<s>jam6
一日到黑	aa1<s>jat6<s>du3<s>hak1
一頁	aa1<s>jip6
一窯	aa1<s>jiu4
一樣嘢	aa1<s>joeng6<s>je5
一架	aa1<s>kaa3
一級	aa1<s>kap1
一橛	aa1<s>ket1
一羣	aa1<s>kwan4
一籃	aa1<s>laam1
一笠	aa1<s>lap1
一列	aa1<s>let6
一釐銻	aa1<s>li1<s>tai1
一爐	aa1<s>lu4
一路	aa1<s>lu6
一碌	aa1<s>luk1
一孖	aa1<s>maa1
啊嘛	aa1<s>maa3
一萬文	aa1<s>maan6<s>man1
一萬頭	aa1<s>maan6<s>tau4
一文	aa1<s>man1
一文半	aa1<s>man1<s>bun3
一文錢	aa1<s>man1<s>cin4
一文雞	aa1<s>man1<s>gai1
一文銀	aa1<s>man1<s>ngan4
一文仙	aa1<s>man1<s>slin1
一文紙	aa1<s>man1<s>zi2
一味	aa1<s>mi2
一面	aa1<s>min6
一冇係	aa1<s>mu5<s>hai6
一枚	aa1<s>mui1
一門	aa1<s>mun4
一𪐀	aa1<s>naa1
一揇	aa1<s>naam3
一𨂾	aa1<s>naam3
一粒	aa1<s>nap1
一粒鬼	aa1<s>nap1<s>gwai2
一粒嘢	aa1<s>nap1<s>je5
一粒兒	aa1<s>nap1<s>ji1
一䉴	aa1<s>neng2
一排	aa1<s>paai4
一㼞	aa1<s>paang1
一弸	aa1<s>paang1
一批	aa1<s>pai1
一匹	aa1<s>pat1
一匹錢	aa1<s>pat1<s>cin4
一篇	aa1<s>pin1
一片	aa1<s>pin3
鴉片鬼	aa1<s>pin3<s>gwai2
一票	aa1<s>piu3
一鋪	aa1<s>pu1
一鋪𠵿	aa1<s>pu1<s>pe1
一倍	aa1<s>pui5
一盤	aa1<s>pun4
一世	aa1<s>sai3
一身	aa1<s>san1
一手	aa1<s>sau2
一手指	aa1<s>sau2<s>zi2
鴉聲啞啞	aa1<s>seng1<s>ak1<s>ak1
一扇	aa1<s>sin3
一乍	aa1<s>slaa6
一水	aa1<s>sui2
一書架	aa1<s>syu1<s>kaa3
一氹	aa1<s>tam5
一頭	aa1<s>tau4
一聽茶葉	aa1<s>teng1<s>caa4<s>jip6
一聽罐頭	aa1<s>teng1<s>gun3<s>tau4
一帖	aa1<s>tip3
一條	aa1<s>tiu4
一條村	aa1<s>tiu4<s>cyun1
一條頸	aa1<s>tiu4<s>geng2
一條氣	aa1<s>tiu4<s>hi3
一條友	aa1<s>tiu4<s>jau2
一條煙	aa1<s>tiu4<s>jin1
一條炮	aa1<s>tiu4<s>peu3
一檯	aa1<s>toi4
一臺	aa1<s>toi4
一檯酒	aa1<s>toi4<s>zau2
一趟	aa1<s>tong3
一堂	aa1<s>tong4
一塘	aa1<s>tong4
一套	aa1<s>tu3
一肚	aa1<s>tu5
一桶	aa1<s>tung2
一筒	aa1<s>tung4
一甕缸	aa1<s>ung3<s>gong1
一位	aa1<s>wai2
一圍檯	aa1<s>wai4<s>toi4
一鑊	aa1<s>wok6
一碗	aa1<s>wun2
一紮	aa1<s>zaat3
一紮水	aa1<s>zaat3<s>sui2
一劑	aa1<s>zai1
一劑藥	aa1<s>zai1<s>joek6
一陣𡃴	aa1<s>zam6<s>cui4
一陣香味	aa1<s>zam6<s>hoeng1<s>mi6
一進	aa1<s>zan3
一陣間	aa1<s>zan6<s>gen1
 一執	aa1<s>zap1
一隻匙羹	aa1<s>zek3<s>ci4<s>gaang1
一隻殼	aa1<s>zek3<s>hok3
一隻禮拜	aa1<s>zek3<s>lai5<s>baai3
一隻星期	aa1<s>zek3<s>sling1<s>ki4
一隻銻仔	aa1<s>zek3<s>tai1<s>zai2
一隻銻崽	aa1<s>zek3<s>tai1<s>zai2
一盞	aa1<s>zen2
一支	aa1<s>zi1
一枝	aa1<s>zi1
一支錔	aa1<s>zi1<s>taap3
一節	aa1<s>zit3
一照	aa1<s>ziu3
一座	aa1<s>zo6
一座屋	aa1<s>zo6<s>uk1
一張	aa1<s>zoeng1
一張凳	aa1<s>zoeng1<s>dang3
一張銀紙	aa1<s>zoeng1<s>ngan4<s>zi2
一張檯	aa1<s>zoeng1<s>toi4
一張紙	aa1<s>zoeng1<s>zi2
一竈	aa1<s>zu3
一盅	aa1<s>zung1
一箸	aa1<s>zyu6
一磚	aa1<s>zyun1
啞突突	aa2<s>dat6<s>dat6
啞佬	aa2<s>lu2
阿Q	aa3<s>Q
阿爸	aa3<s>baa1
阿伯	aa3<s>baak3
亞便	aa3<s>bin6
阿便	aa3<s>bin6
阿㬍	aa3<s>bok3
亞大	aa3<s>daai2
阿大	aa3<s>daai2
阿笪	aa3<s>daat3
阿笪定	aa3<s>daat3<s>deng6
阿啲	aa3<s>di1
阿啲凳	aa3<s>di1<s>dang3
阿啲人	aa3<s>di1<s>jan4
阿啲書	aa3<s>di1<s>syu1
阿啲檯	aa3<s>di1<s>toi4
阿弟	aa3<s>di2
阿父	aa3<s>fu6
阿家	aa3<s>gaa1
阿監	aa3<s>gaam3
阿哥	aa3<s>go1
阿個	aa3<s>go3
阿姑	aa3<s>gu1
阿公	aa3<s>gung1
阿姨	aa3<s>ji1
阿二	aa3<s>ji6
阿媽	aa3<s>maa1
阿嫲	aa3<s>maa4
阿母	aa3<s>mu2
阿妹	aa3<s>mui2
阿孃	aa3<s>noeng1
阿排時	aa3<s>paai4<s>si4
阿婆	aa3<s>po4
阿嬸	aa3<s>sam2
阿十	aa3<s>sap6
阿三	aa3<s>slaam1
阿四	aa3<s>sli3
阿嫂	aa3<s>slu2
阿叔	aa3<s>suk1
阿太	aa3<s>taai3
阿亭嘢	aa3<s>ting4<s>je5
阿駝	aa3<s>to2
阿陣時	aa3<s>zan6<s>si4
阿姐	aa3<s>ze1
阿隻	aa3<s>zek3
阿吱阿咗	aa3<s>zi1<s>aa3<s>zo1
阿吱阿嗻	aa3<s>zi1<s>aa3<s>zo1
阿種	aa3<s>zung2
挨挨凭凭	aai1<s>aai1<s>bang6<s>bang6
挨家挨戶	aai1<s>gaa1<s>aai1<s>wu6
挨肩搭背	aai1<s>gin1<s>daap3<s>bui3
挨個兒	aai1<s>go3<s>ji4
哎喲	aai1<s>jo1
挨近	aai1<s>kan5
挨披凳	aai1<s>pe1<s>dang3
唉聲嘆氣	aai1<s>seng1<s>taan3<s>hi3
挨住	aai1<s>zyu6
嗌交	aai3<s>geu1
嗌喳喳	aai3<s>zaa4<s>zaa4
晏飯	aan3<s>faan6
晏晝	aan3<s>zau3
罌罌甕甕	aang1<s>aang1<s>ung3<s>ung3
罌煲	aang1<s>bu1
罌煲罌鐺	aang1<s>bu1<s>aang1<s>caang1
罌煲鑊頭	aang1<s>bu1<s>wok6<s>tau4
鴨韸韸	aap3<s>bam4<s>bam2
鴨咇咇	aap3<s>bet6<s>bet6
鴨蛋	aap3<s>daan6
押解	aap3<s>gaai3
押金	aap3<s>gam1
鴨腳	aap3<s>goek3
鴨腳木	aap3<s>goek3<s>muk6
鴨公	aap3<s>gung1
公鴨聲	aap3<s>gung1<s>seng1
鴨下巴	aap3<s>haa6<s>paa4
鴨紅	aap3<s>hung4
鴨苗	aap3<s>miu4
鴨乸	aap3<s>naa2
鴨乸腳	aap3<s>naa2<s>goek3
鴨屎	aap3<s>si2
鴨仔	aap3<s>zai2
鴨崽	aap3<s>zai2
鴨掌	aap3<s>zoeng2
壓扁	aat3<s>ben2
壓寶	aat3<s>bu2
壓大	aat3<s>daai6
揠苗助長	aat3<s>miu4<s>zo6<s>zoeng2
矮櫃	ai1<s>gwai6
矮瓜	ai2<s>gwaa1
翳氣	ai3<s>hi3
矮癟癟	ai5<s>bet6<s>bet6
矮黕黕	ai5<s>dam2<s>dam2
矮𦛠𦛠	ai5<s>net1<s>net1
啞啞	ak1<s>ak1
蚅虵	ak1<s>e6
啞然	ak1<s>jin4
啞然而笑	ak1<s>jin4<s>ji4<s>sliu3
啞然失笑	ak1<s>jin4<s>sat1<s>sliu3
鵪鶉	am1<s>can1
庵觀	am1<s>gun3
揞住	am2<s>zyu6
暗訪	am3<s>fong2
暗灰	am3<s>fui1
暗號	am3<s>hu6
暗紅	am3<s>hung4
暗鎖	am3<s>slo2
暗黃	am3<s>wong4
恩將仇報	an1<s>zoeng1<s>cau4<s>bu3
㥯住來	an3<s>zyu6<s>lai4
搕錢	ap1<s>cin4
搕草皮	ap1<s>cu2<s>pi4
搕藥	ap1<s>joek6
浥汁	ap1<s>zap1
腌臢	ap1<s>zap1
黝黑黝黑	au2<s>hak1<s>au2<s>hak1
嘔血	au2<s>hyut3
漚雨	au3<s>jyu5
漚雨天	au3<s>jyu5<s>tin1
漚膿	au3<s>nung4
漚仔	au3<s>zai2
漚崽	au3<s>zai2
漚糉	au3<s>zung3
巴閉	baa1<s>bai3
巴不得	baa1<s>bat1<s>dak1
吧嗒	baa1<s>daap1
巴麻油	baa1<s>maa4<s>jau4
巴麻油路	baa1<s>maa4<s>jau4<s>lu6
吧女	baa1<s>nyu5
巴西龜	baa1<s>slai1<s>gwai1
吧廳	baa1<s>teng1
吧檯	baa1<s>toi4
吧托	baa1<s>tok3
吧喳	baa1<s>zaa1
巴喳	baa1<s>zaa1
巴仔	baa1<s>zai2
巴崽	baa1<s>zai2
吧唧	baa1<s>zik1
芭蕉	baa1<s>ziu1
芭蕉芋	baa1<s>ziu1<s>wu6
巴掌	baa1<s>zoeng2
吧主	baa1<s>zyu2
白菜仔	baa2<s>coi3<s>zai2
白菜崽	baa2<s>coi3<s>zai2
把戲佬	baa2<s>hi3<s>lu2
把脈	baa2<s>mak6
把尿	baa2<s>niu6
把屎	baa2<s>si2
爸爸	baa4<s>baa1
罷官	baa6<s>gun1
罷免	baa6<s>min5
罷就	baa6<s>zau6
罷造	baa6<s>zu6
擺檔	baai2<s>dong3
擺架閬	baai2<s>kaa3<s>long3
擺手	baai2<s>sau2
擺攤	baai2<s>taan1
擺頭	baai2<s>tau4
擺酒	baai2<s>zau2
擺着	baai2<s>zoek6
擺著	baai2<s>zoek6
拜佛	baai3<s>fat6
拜訪	baai3<s>fong2
拜月光	baai3<s>jyut6<s>gong1
拜眼睏	baai3<s>ngen5<s>han3
拜年	baai3<s>nin4
拜山	baai3<s>saan1
拜神	baai3<s>san4
拜壽	baai3<s>sau6
拜社	baai3<s>se5
拜天地	baai3<s>tin1<s>di6
拜堂	baai3<s>tong4
拜土地	baai3<s>tu2<s>di6
唄唱	baai6<s>coeng3
敗毒	baai6<s>duk4
敗火	baai6<s>fo2
敗家仔	baai6<s>gaa1<s>zai2
敗家崽	baai6<s>gaa1<s>zai2
唄讚	baai6<s>zaan3
敗仗	baai6<s>zoeng3
啪紐	baak1<s>nau2
百一十個	baak3<s>aa1<s>sap6<s>go3
百一十一	baak3<s>aa1<s>sap6<s>jat1
百把個	baak3<s>baa2<s>go3
百馱	baak3<s>do6
百廢待興	baak3<s>fai3<s>doi6<s>hing1
百分之	baak3<s>fan6<s>zi1
百貨店	baak3<s>fo3<s>dim3
百家姓	baak3<s>gaa1<s>sling3
百家鎖	baak3<s>gaa1<s>slo2
百幾個	baak3<s>gi2<s>go3
百下	baak3<s>haa5
百一	baak3<s>jat1
百一個	baak3<s>jat1<s>go3
伯爺公	baak3<s>je1<s>gung1
伯爺婆	baak3<s>je1<s>po4
伯爺	baak3<s>je4
百二	baak3<s>ji6
百二十一	baak3<s>ji6<s>aa6<s>jat1
百厭	baak3<s>jim3
百零個	baak3<s>leng4<s>go3
百靈	baak3<s>ling4
百靈鳥	baak3<s>ling4<s>niu5
百零四	baak3<s>ling4<s>sli3
百籮	baak3<s>lo1
百兩	baak3<s>loeng2
百米	baak3<s>mai1
伯母	baak3<s>mu2
百年好合	baak3<s>nin4<s>hu2<s>hap6
伯孃	baak3<s>noeng4
百褶裙	baak3<s>zip3<s>kwan4
百足	baak3<s>zuk1
白白	baak6<s>baak6
白菜	baak6<s>coi3
白菜心	baak6<s>coi3<s>slam1
白花菜	baak6<s>faa1<s>coi3
白花蛇舌草	baak6<s>faa1<s>se4<s>sit6<s>cu2
白番薯	baak6<s>faan1<s>syu4
白飯	baak6<s>faan6
白果	baak6<s>go2
白瓜	baak6<s>gwaa1
白鶴	baak6<s>hok6
白日	baak6<s>jat6
白扣布	baak6<s>kau3<s>bu3
白欖	baak6<s>laam2
白蠟魚	baak6<s>laap6<s>jyu4
白蓮子	baak6<s>lin4<s>zi2
白涼粉	baak6<s>loeng4<s>fan2
白露	baak6<s>lu6
白鷺	baak6<s>lu6
白泥	baak6<s>nai4
白蟻	baak6<s>ngai5
白眼核	baak6<s>ngen5<s>wat6
白蓬蓬	baak6<s>pung1<s>pung1
白沙糖	baak6<s>saa1<s>tong4
白煞煞	baak6<s>saai5<s>saai5
白豉油	baak6<s>si6<s>jau4
白鱔	baak6<s>sin5
白簇簇	baak6<s>sluk1<s>sluk1
白雪雪	baak6<s>slyut1<s>slyut1
白雪	baak6<s>slyut3
白頭翁	baak6<s>tau4<s>ung1
白鐵	baak6<s>tit3
白鐵佬	baak6<s>tit3<s>lu2
白鐵鋪	baak6<s>tit3<s>pu3
白苔	baak6<s>toi1
白糖	baak6<s>tong4
白兔	baak6<s>tu3
白雲觀	baak6<s>wan4<s>gun3
白胡椒	baak6<s>wu4<s>ziu1
白酒	baak6<s>zau2
白斬鴨	baak6<s>zem2<s>aap3
白斬雞	baak6<s>zem2<s>gai1
白截截	baak6<s>zet6<s>zet6
白芝麻	baak6<s>zi1<s>maa4
白粥	baak6<s>zuk1
白竹布	baak6<s>zuk1<s>bu3
白種人	baak6<s>zung2<s>jan4
班車	baan1<s>ce1
斑鳩	baan1<s>gau1
斑魚	baan1<s>jyu4
板油	baan2<s>jau4
板栗	baan2<s>lat6
𢴬	baan3
𢴬卟褲	baan3<s>bap6<s>fu3
𢴬交	baan3<s>geu1
𢴬穀	baan3<s>guk1
𢴬爛	baan3<s>laan6
辦公檯	baan6<s>gung1<s>toi4
扮靚	baan6<s>leng3
八八來	baat3<s>baat3<s>lai4
坺坺	baat6<s>baat6
拔毒	baat6<s>duk6
拔火罐	baat6<s>fo2<s>gun3
拔河	baat6<s>ho4
包藏禍心	baau1<s>cong4<s>wo6<s>slam1
包頂頸	baau1<s>ding2<s>geng2
胞衣	baau1<s>ji1
包心生菜	baau1<s>slam1<s>saang1<s>coi3
爆吧	baau3<s>baa1
爆料	baau3<s>liu2
跛腳	bai1<s>goek3
跛佬	bai1<s>lu2
跛手	bai1<s>sau2
閉翳	bai3<s>ai3
閉時	bai3<s>si4
閉塞	bai3<s>slak1
北便	bak1<s>bin6
北斗星	bak1<s>dau2<s>sling1
北風天	bak1<s>fung1<s>tin1
北京鴨	bak1<s>ging1<s>aap3
檳榔芋	ban1<s>long4<s>wu6
賁門	ban1<s>mun4
錛刨	ban1<s>peu4
奔喪	ban1<s>slong1
奔頭	ban1<s>tau4
奔走膜唄	ban1<s>zau2<s>mo4<s>baai6
捹捹	ban3<s>ban3
捹辮	ban3<s>bin1
捹囉囉	ban3<s>lo1<s>lo1
捹螺螺	ban3<s>lo1<s>lo1
捹孖辮	ban3<s>maa1<s>bin1
儐相	ban3<s>sloeng3
笨腏	ban6<s>cot6
笨蛋	ban6<s>daan6
笨口笨舌	ban6<s>hau2<s>ban6<s>sit6
崩大碗	bang1<s>daai6<s>wun2
崩口	bang1<s>hau2
崩牙	bang1<s>ngaa4
崩䠡䠡	bang1<s>zo4<s>zo4
繃耿	bang2<s>gang2
卟卟	bap6<s>bap6
卟卟聲	bap6<s>bap6<s>seng1
不便	bat1<s>bin6
筆參造化	bat1<s>caam1<s>zu6<s>faa3
不曾	bat1<s>cang4
不得了	bat1<s>dak1<s>liu5
筆調	bat1<s>diu6
不當	bat1<s>dong3
不當之處	bat1<s>dong3<s>zi1<s>cyu3
𢳂飯	bat1<s>faan6
不分	bat1<s>fan1
筆鋒	bat1<s>fung1
不敢當	bat1<s>gaam2<s>dong1
不教胡馬度陰山	bat1<s>gaau1<s>wu4<s>maa5<s>du6<s>jam1<s>saan1
筆記簿	bat1<s>gi3<s>bu6
筆桿	bat1<s>gon2
不吭聲	bat1<s>hang1<s>seng1
不行	bat1<s>hang4
筆盒	bat1<s>hap6
不興	bat1<s>hing1
不可勝數	bat1<s>ho2<s>sing3<s>su2
篳篥	bat1<s>lat6,bat1<s>lyut6
嗶哩嗶哩	bat1<s>li1<s>bat1<s>li1
畢業	bat1<s>nip6
不勝感激	bat1<s>sing3<s>gaam2<s>gik1
不勝其煩	bat1<s>sing3<s>ki4<s>faan4
不勝枚舉	bat1<s>sing3<s>mui4<s>gyu2
𢳂水	bat1<s>sui2
筆錔	bat1<s>taap3
𢳂湯	bat1<s>tong1
筆筒	bat1<s>tung4
筆筒套	bat1<s>tung4<s>tu3
不爲所動	bat1<s>wai4<s>slo2<s>dung6
不會	bat1<s>wui5
不斬來使	bat1<s>zaam2<s>loi4<s>sai2
不知幾	bat1<s>zi1<s>gi2
不祇	bat1<s>zi2
筆尖	bat1<s>zim1
不着邊際	bat1<s>zoek6<s>bin1<s>zai3
不著邊際	bat1<s>zoek6<s>bin1<s>zai3
不着痕跡	bat1<s>zoek6<s>han4<s>zik1
不著痕跡	bat1<s>zoek6<s>han4<s>zik1
不着形跡	bat1<s>zoek6<s>jing4<s>zik1
不著形跡	bat1<s>zoek6<s>jing4<s>zik1
噼啪筒	bek1<s>baak1<s>tung4
扁鼻	ben2<s>bi6
扁菜	ben2<s>coi3
扁菜花	ben2<s>coi3<s>faa1
扁擔	ben2<s>daam3
扁豆	ben2<s>dau6
扁粉	ben2<s>fan2
扁柑	ben2<s>gam1
扁柏	ben2<s>paak3
扁跋剌	ben2<s>paat6<s>laat6
扁平	ben2<s>ping4
扁食	ben2<s>sik6
扁桃腺	ben2<s>tu4<s>slin3
扁桃體	ben2<s>tu4<s>tai2
餅鐺	beng2<s>caang1
餅乾	beng2<s>gon1
病啊	beng6<s>aa3
病重	beng6<s>cung5
病得要緊	beng6<s>dak1<s>jiu3<s>gan2
病哂	beng6<s>slaai3
八十八	bet3<s>aa6<s>bet3
八八	bet3<s>bet3
八成	bet3<s>cing4
八角	bet3<s>gok3
八角碗	bet3<s>gok3<s>wun2
八卦婆	bet3<s>gwaa3<s>po4
八號	bet3<s>hu6
八月豆	bet3<s>jyut6<s>dau6
八騎馬	bet3<s>ke4<s>maa5
八匹馬	bet3<s>pat1<s>maa5
八十	bet3<s>sap6
八仙椅	bet3<s>slin1<s>ji2
八仙檯	bet3<s>slin1<s>toi4
八字鬍	bet3<s>zi6<s>wu4
包糉	beu1<s>zung3
飽過頭	beu2<s>go3<s>tau4
爆芽	beu3<s>ngaa4
齙牙	beu6<s>ngaa4
啤啤	bi1<s>bi1
裨補	bi1<s>bu2
裨補闕漏	bi1<s>bu2<s>kyut3<s>lau6
悲夫	bi1<s>fu4
裨益	bi1<s>jik1
悲咽	bi1<s>jit3
蓖麻	bi1<s>maa4
裨助	bi1<s>zo6
畀錢	bi2<s>cin4
吡啶	bi2<s>ding6
畀封包	bi2<s>fung1<s>beu1
畀價	bi2<s>gaa3
吡咯	bi2<s>lok3
畀面	bi2<s>min2
比目魚	bi2<s>muk6<s>jyu4
畀心機	bi2<s>slam1<s>gi1
比畫	bi2<s>waak6
畀隻價	bi2<s>zek3<s>gaa3
臂膀	bi3<s>bong2
賁臨	bi3<s>lam4
秘書監	bi3<s>syu1<s>gaam3
啤哩叭啦	bi4<s>li4<s>baa4<s>laa4
被逼	bi6<s>bik1
被綁	bi6<s>bong2
被打	bi6<s>daa2
被動	bi6<s>dung6
被加數	bi6<s>gaa1<s>su3
鼻哥	bi6<s>go1
鼻哥椗	bi6<s>go1<s>deng3
鼻哥窿	bi6<s>go1<s>lung1
鼻哥毛	bi6<s>go1<s>mu4
鼻哥冇靈	bi6<s>go1<s>mu5<s>ling4
鼻哥頭	bi6<s>go1<s>tau4
鼻哥尖	bi6<s>go1<s>zim1
被告	bi6<s>gu3
鼻觀	bi6<s>gun3
被害	bi6<s>hoi6
鼻翼	bi6<s>jik6
鼻咽	bi6<s>jin1
鼻咽癌	bi6<s>jin1<s>ngaam4
被困	bi6<s>kwan3
鼻樑	bi6<s>loeng4
鼻毛	bi6<s>mu4
被難	bi6<s>naan6
被迫	bi6<s>paak3
被批評	bi6<s>pai1<s>ping4
被殺	bi6<s>saat3
篦蝨乸	bi6<s>sat1<s>naa2
鼻屎	bi6<s>si2
被乘數	bi6<s>sing4<s>su3
鼻塞	bi6<s>slak1
鼻涕	bi6<s>tai3
鼻涕蟲	bi6<s>tai3<s>cung4
鼻涕水	bi6<s>tai3<s>sui2
篦頭	bi6<s>tau4
篦頭皮	bi6<s>tau4<s>pi4
鼻尖	bi6<s>zim1
壁櫃	bik1<s>gwai6
邊邊	bin1<s>bin1
邊便	bin1<s>bin6
邊笪	bin1<s>daat3
邊笪定	bin1<s>daat3<s>deng6
邊啲	bin1<s>di1
邊個	bin1<s>go3
邊日	bin1<s>jat6
鯿魚	bin1<s>jyu4
邊月	bin1<s>jyut6
邊旁	bin1<s>pong4
邊塞	bin1<s>soi3
邊隻	bin1<s>zek3
變廢爲寶	bin3<s>fai3<s>wai4<s>bu2
變更	bin3<s>gang1
變易	bin3<s>jik6
變色龍	bin3<s>sik1<s>lung4
變徵	bin3<s>zi2
變種	bin3<s>zung2
便秘	bin6<s>bi3
便車	bin6<s>ce1
便當	bin6<s>dong3
便道	bin6<s>du6
便飯	bin6<s>faan6
便服	bin6<s>fuk6
便衣	bin6<s>ji1
便宴	bin6<s>jin3
便於	bin6<s>jyu1
便利	bin6<s>li6
辯難	bin6<s>naan6
便溺	bin6<s>nik6
便是	bin6<s>si6
便條	bin6<s>tiu4
便捷	bin6<s>zit6
乒乓球	bing1<s>baang1<s>kau4
冰雹	bing1<s>bok6
兵車行	bing1<s>ce1<s>hang4
冰掛	bing1<s>gwaa3
乒鈴乓唥	bing1<s>ling1<s>baang1<s>laang1
冰凌	bing1<s>ling4
兵來將擋	bing1<s>loi4<s>zoeng3<s>dong2
兵佬	bing1<s>lu2
冰泡	bing1<s>paau1
冰片糖	bing1<s>pin3<s>tong4
冰糖	bing1<s>tong4
并州	bing1<s>zau1
兵種	bing1<s>zung2
屏除	bing2<s>cyu4
屏棄	bing2<s>hi3
屏去	bing2<s>hyu3
屏息	bing2<s>slik1
屏息靜氣	bing2<s>slik1<s>zing6<s>hi3
屏退	bing2<s>tui3
屏住	bing2<s>zyu6
屏住呼吸	bing2<s>zyu6<s>fu1<s>kap1
屏絕	bing2<s>zyut6
呯呯韸韸	bing4<s>bing4<s>bam4<s>bam4
呯呤嘭啷	bing4<s>ling4<s>baang4<s>laang4
觱篥	bit1<s>lat6,bit1<s>lyut6
𥷑篥	bit1<s>lat6,bit1<s>lyut6
別稱	bit6<s>cing1
別號	bit6<s>hu6
䅺青	biu1<s>ceng1
錶袋	biu1<s>doi6
飈蛇	biu1<s>se4
標識	biu1<s>zi3
