平		铧蚶蟾嵌肮穰羌裳礓汆椽闩膻蔫掮缲扔塍铛粳莳肨揪锛皴畦秸兮嵩
	24	瓦也野惹社马码洒雅感淡览揽榄染冉敛脸舔往网辋莽蟒朗养壤两仰强断满卵暖软晚挽旱懒演衍免勉娩缅鳝件眼抱老姥脑恼舀藐渺秒卯咬了鸟坐妥椭哪我永颖皿领岭猛冷艇挺铤伟苇尾垒蕊累美履矣已以柿耳李里理鲤你拟市似被婢玺尔侈企蚁徛棒蚌厚牡某母拇亩搂藕偶有友酉莠妇柳钮臼舅咎允尹菌愤忿吻刎引蚓悯敏抿肾倍每儡乃解蟹买奶骇米勇涌恿踊陇垄重户沪肚鲁橹虏卤努五伍午汝处杵吕旅女苎语拒距雨宇羽武舞侮鹉乳缕柱
	3	歉
	33	喊厌芡攘嚷厂敞纂撰诞伞皂袄扫漂吵铰簸矿癸雉俟祀巳豕叩垢诱纣灸悔怪罢吐擩
	35	垮耍寡剐舍写扯且者姐把哑假贾揞惨砍胆敢橄毯陕闪贬险俭检斩减碱点谎恍广枉纺仿榜嗓搡党挡倘躺晌饷赏闯想享响两俩抢爽长涨掌蒋奖桨缓皖碗款短管馆选喘转卷远宛婉阮反返犬散罕侃疸秆杆擀赶坦践鲜癣碾浅遣展剪铲盏产简柬拣板版扁匾显蚬捻撵典茧趼腆保堡宝嫂好草考岛倒捣澡藻早枣蚤稿讨少表小扰绕剿矫炒饱爪找巧绞狡搞搅晓缴肯等拯跛锁琐火伙裸朵躲果裹馃可左顷丙秉影境景警饼省请整井颈打哽埂梗耿醒顶鼎鬼匪水轨委髓毁嘴诡岂几矢屎比鄙秕死旨指姊始滓耻齿喜起杞史使驶止趾址子梓己纪彼倚椅徙此纸只紫项绑讲港呕口剖斗抖陡走狗苟敨手首守丑朽纽扭帚酒九久韭否纠沈审婶禀饮寝枕锦本稳损捆滚笋榫蠢准粉很恳垦啃忍诊疹紧隐近谨贿腿拐海彩采睬凯宰载改解摆矮洗礼启底抵体汞懵檬哄拢孔董懂总桶捅宠怂耸捧恐种肿拱巩簿补谱圃虎浒苦普浦堵赌祖组古盬牯股鼓土暑鼠黍楚础阻许所煮举绪釜辅抚取娶数主矩府腑俯斧甫脯
	53	坎慷圈辫烤拷鳔表悄鲍挑侥痞几殴篓楷挤拥坞估
去		㮇炕楦篡涮濽襻醮牚锃媾赁扽浚熨焮铳瓠
	2	叶
	21	华桦夜射麝谢耙下夏暇爸骂厦泛憾暂滥焰验陷馅站赚念旺忘妄望逛傍藏脏宕谤浪恙状让亮谅量酿尚上换段缎漫幔唤焕乱断锻饭万蔓曼愿传倦旋幻患宦眩汗但弹烂难岸堰健腱建便贱面谚单禅膳溅苋扮慢雁现垫淀靛电殿奠练炼楝砚暴菢号盗导悼冒涝劳傲耀鹞妙疗召邵刨效校貌闹掉调廖镣尿赠澄邓孕剩乘薄座和磨糯懦卧贺大驮荷饿横净令郑盛劲病命竞行硬迸定另宁佞订为累伪瑞睡汇谓未味讳魏泪坠柜遂隧穗被避易离荔谊义豉字牸异事伺吏治侍忌饲毅备鼻自肄地二贰媚寐利痢腻稚视示撞虹候痘茂贸戊漏陋又右佑就骤馏宙胄寿授售旧袖谬任钝遁闷论嫩顿舜润闰顺韵运晕份分酝问璺郡恨认刃韧衅吝阵慎绘外会背焙昧擂内吠秽卫彗锐芮缀赘话坏惠慧逮代袋耐碍害赖奈艾弊币毙例厉励艺誓逝稗卖败迈系第递谜丽隶泥讧洞弄栋用缝重共诵颂讼凤梦仲步埠互护度渡镀暮慕墓募路赂露鹭怒误悟妒誉预豫助虑滤御薯芋喻裕附驸务雾赴讣住遇寓树具惧付赋
	24	瓦缆敛殓玩贩焊帽庙轿料那泳咏孟纬胃猬位类譬议饵胖豆偶妗会画懈械屡傅
	3	吓帕塑
	33	化赦舍藉泻卸笡蔗鹧借岔汊乍霸坝诈榨炸亚怕假架驾嫁稼价暗探錾担占欠剑忏鉴蘸店旷况放丧抗当档葬钢杠烫趟匠创壮畅相唱向仗帐账胀涨障瘴酱将叛半绊算蒜窜判钻贯灌罐观冠怨劝券串转眷惯翰按案散汉灿看旦赞干炭叹宪献汴扇饯变线骗战颤箭羡瓣办盼绽间晏疝谏遍燕咽宴片荐见报奥懊燥扫好耗靠犒到灶躁告套少要鞘笑俏票漂照豹爆笊孝炮泡潲罩教校较窖觉窍钓吊叫跳粜蹭凳胜应秤兴瞪证症甑簸播货锉课破剁挫过唾做个圣性姓聘娉正政柄庆敬镜更磬径喂畏慰费贵粹翠帅醉季愧翅臂赐戏刺智寄试厕意置志痣帜记嗣气汽既秘泌庇痹四肆次器弃屁致质嗜至冀降逗沤怄嗽凑扣寇斗奏够构购透兽柚鼬釉皱绉秀绣锈副臭嗅漱瘦昼咒柩救究富幼沁渗浸禁逊寸困喷棍迅俊骏殉训粪奋衬殡鬓印趁信讯亲镇振震进晋兑最刽桧蜕佩溃辈背碎晦淬块配对碓退肺废税说岁脆鳜挂卦快筷拽桂载爱赛菜慨戴再概溉态贷贝癞蔡沛带盖丐太泰敝世势蔽滞制祭际债隘派晒寨拜介界芥尬疥届戒闭缢瞖细婿砌契帝蒂嚏济计继系髻替涕剃屉宋瓮送控冻粽贡痛碰揰种纵供中众布恶素诉嗉戽醋措错库裤怖铺故固锢雇顾吐兔庶恕絮处去箸著据锯戍趣数驻注蛀铸句咐
	35	把访样辆惋腕院恋卷县蛋碾栈涧锏倒绕稍佐并映竟翡痱使寺畀巷饮枕仅队妹蔼解统俸讽捕署
	5	复宿
	53	跨胯卡勘倡绢糙操膏诏酵称涴钉听篦双勾溜荫揿鐾剂综空输
入		镢谑钹掇哕厥瘪瞎楔栅龌讫栿
	2	乏杂合盒沓纳腊蜡镴邋业捷页猎聂镊蹑狭峡闸匣侠叠碟蝶谍挟镬获缚薄泊凿昨铎踱莫寞落乐腭鄂药钥若弱着虐疟勺活夺末沫抹捋越曰粤伐筏罚阀袜月掘绝悦阅滑猾穴达辣捺别热灭列烈裂孽折杰舌辖铡拔截跌篾捏或惑域卜贼特墨默肋勒翼力匿直值殖植极食蚀疫役划籍藉亦译易液腋掷石硕席夕逆剧白帛拆陌泽择宅额核责麦脉摘寂笛敌狄涤荻历雹学镯浊岳琢集揖入立笠什十拾及习袭勃饽突没律率术述橘佛物勿倔疾逸日密蜜栗秩侄实仆族独读牍犊木鹿禄毒育服伏肉目穆牧睦六陆逐轴熟淑孰塾浴欲辱褥绿录玉狱蜀属局赎俗续
	21	炎射曝瀑酷
	3	法喝答搭踏搨塔榻塌溻遢胁怯劫摄涉折褶妾接插掐霎扎夹鸭押压甲胛跌协挟帖贴霍藿廓郭鹤博恶索膜幕漠烙骆酪洛络诺错作各阁搁胳讬托嚼跃约削绰焯略掠鹊却着芍酌灼爵雀脚钵拨豁撮阔泼括脱翻番蕨发说雪劣拙刷刮挖血缺决诀砸撒萨擦渴割葛獭歇蝎竭揭设鳖彻撤薛泄辙哲蜇浙察八札轧杀煞憋噎屑切窃撇节疖结洁铁国赤尺只脊百柏伯窄吓客拍魄格策册擘革隔锡劈剥驳捉戳壳确搉朴朔卓桌啄觉角蛰猝乙扑
	33	炸扩切数滗
	35	眨郝饺
	5	蛤鸽磕瞌洽恰桔北塞黑刻克得德则识式饰测逼侧忆亿抑息熄媳色啬织职即鲫辟适释璧益惜昔斥僻积迹碧屐戟迫扼轭壁析觅溺戚吃霹的滴嫡绩击激踢剔惕龊握湿辑吸粒缉泣涩执汁急级给不忽卒骨戌恤出率蟀屈虱失室必笔毕一悉蟋膝七漆匹质吉乞卜屋速哭仆谷秃沃笃督叔复郁畜肃宿覆蓄曲缩竹筑祝粥菊鞠福幅蝠腹辐束粟触旭促烛嘱足
	53	卅拉腌摸窟
